"","exposure","outcome","term","estimate","std.error","statistic","p.value","ci_lower","ci_upper"
"938","isolation_item_visit","IFN_gamma","isolation_item_visit0",0.019271001649998,0.601020245412198,0.0320638144839553,0.974485070290112,-1.15872867935791,1.19727068265791
"939","social_activities_ordinal","BDNF","social_activities_ordinal.C",-0.00596429755432425,0.19921187355027,-0.0299394682055394,0.976173264712834,-0.396419569712854,0.384490974604205
"940","isolation_item_visit","IL_8","isolation_item_visit2",0.0169475301310366,0.586923802907275,0.0288751794476362,0.977021689979097,-1.13342312356722,1.1673181838293
"941","isolation_item_communicate","VILIP_1","isolation_item_communicate2",0.0117687433660714,0.420298751661294,0.0280009001205777,0.977717801038319,-0.812016809890065,0.835554296622208
"942","social_relationships_nominal","IFN_lambda2_3","social_relationships_nominalVery good",-0.00738695008373177,0.272831651563767,-0.0270751213849002,0.978452206526013,-0.542136987148715,0.527363086981251
"943","social_relationships_ordinal","IL_1beta","social_relationships_ordinal.L",-0.00698065020304353,0.269398577037994,-0.0259119787483474,0.979377682224805,-0.535001861197512,0.521040560791425
"944","social_relationships_ordinal","beta_NGF","social_relationships_ordinal.C",0.00400011125163553,0.156750790612536,0.0255189223352831,0.979690431174026,-0.303231438348935,0.311231660852206
"945","isolation_item_communicate","IL_1beta","isolation_item_communicate4",-0.00739699171130952,0.315272330792499,-0.0234622292819535,0.981328792486944,-0.625330760064608,0.61053677664199
"946","isolation_cat_d","MCP_1","isolation_cat_dHigh",0.00548540995268273,0.23609011482161,0.0232343906343877,0.981507403908633,-0.457251215097672,0.468222035003038
"947","isolation_item_visit","IL_1beta","isolation_item_visit3",0.0112073862307701,0.549413624756445,0.0203988138003282,0.983765876793354,-1.06564331829186,1.0880580907534
"948","isolation_item_visit","IL_6","isolation_item_visit1",-0.009911364316667,0.528433180528581,-0.0187561354621087,0.985073018779005,-1.04564039815269,1.02581766951935
"949","race_f","IL_1beta","race_fAsian",-0.0176504340675675,1.05234443375851,-0.016772487696379,0.986650882626329,-2.08024552423424,2.0449446560991
"950","isolation_item_visit","VILIP_1","isolation_item_visit2",-0.00762798111724557,0.510053169140951,-0.0149552665854285,0.988097665492971,-1.00733219263351,0.992076230399018
"951","isolation_item_communicate","IFN_gamma","isolation_item_communicate4",0.00447179061607128,0.330033102240559,0.0135495215046999,0.989216644755402,-0.642393089775424,0.651336671007566
"952","isolation_item_communicate","IFN_lambda2_3","isolation_item_communicate1",0.00547357681250016,0.45265228396579,0.0120922328382946,0.99037636401966,-0.881724899760448,0.892672053385449
"953","social_activities_nominal","BDNF","social_activities_nominalFair",-0.00478271262820436,0.455697291083539,-0.0104953720853425,0.991646360014024,-0.89794940315194,0.888383977895532
"954","isolation_item_communicate","IFN_alpha2","isolation_item_communicate1",0.00423803389583329,0.406414032396765,0.010427872952221,0.991700896938485,-0.792333469601826,0.800809537393492
"955","isolation_item_visit","sTREM_1","isolation_item_visit0",0.00670729994999696,0.67145726435356,0.00998916879163466,0.992049830275715,-1.30934893818298,1.32276353808297
"956","social_relationships_ordinal","BDNF","social_relationships_ordinal.Q",0.0019061675854454,0.226366862070894,0.00842070066266331,0.993297620536267,-0.441772882073508,0.445585217244398
"957","isolation_item_communicate_d","VEGF","isolation_item_communicate_dHigh",0.00158099651221265,0.228821165045825,0.0069093106483224,0.994500447767358,-0.446908486977604,0.450070480002029
"958","social_activities_ordinal","BDNF","social_activities_ordinal.L",-0.00157672433306283,0.310970783723579,-0.00507032948299212,0.995964287052304,-0.611079460431278,0.607926011765152
"959","isolation_item_visit","VILIP_1","isolation_item_visit5",0.00148315597142503,0.616760559555936,0.0024047516470458,0.998086078366155,-1.20736754075821,1.21033385270106
"960","social_relationships_nominal","IFN_beta","social_relationships_nominalFair",0.000454582890909409,0.345316632095151,0.00131642338844585,0.998952192679734,-0.676366016015586,0.677275181797405
